id;topic;style;question;answer;numeros_fora_do_doc;decisao;pergunta_corrigida;resposta_corrigida;comentario
cartoes__direta__4;cartoes;direta;Como faço para bloquear meu cartão de débito ou crédito?;"Se você precisar bloquear seu cartão de débito ou crédito, pode fazer isso facilmente pelo app da Indie. Também pode solicitar uma 2ª via do cartão físico gratuitamente uma vez por ano; as solicitações adicionais custam R$ 15.";;;;;
cobrancas__suporte__4;cobrancas;suporte;O que acontece se eu ultrapassar a franquia de boletos pagos no plano Essencial?;Se você ultrapassar a franquia de 10 boletos pagos no plano Essencial, será cobrada uma taxa de R$ 1,99 por cada boleto adicional pago. Por isso, é importante monitorar a quantidade de boletos emitidos para evitar custos extras.;;;;;
cobrancas__suporte__0;cobrancas;suporte;Como faço para enviar um link de pagamento para um cliente usando a Indie Cobranças?;Para enviar um link de pagamento, você pode acessar a funcionalidade da Indie Cobranças no app. Escolha o tipo de pagamento que deseja oferecer (Pix, boleto ou cartão de crédito), configure as opções e envie o link pelo WhatsApp, e-mail ou SMS para o seu cliente. Essa é uma maneira prática de facilitar o recebimento.;;;;;
cofre_fiscal__comparacao__0;cofre_fiscal;comparacao;Qual a diferença entre o Cofre Fiscal e as Caixinhas da Indie?;O Cofre Fiscal é uma ferramenta que reserva automaticamente uma porcentagem de cada recebimento para o pagamento de impostos, enquanto as Caixinhas são CDBs com liquidez diária que permitem guardar dinheiro para diferentes objetivos e rendem 100% do CDI ou mais, dependendo do plano. O Cofre Fiscal tem o foco em organizar as finanças e garantir que os impostos sejam pagos em dia, enquanto as Caixinhas oferecem uma opção de investimento com rendimento.;;;;;
cofre_fiscal__direta__1;cofre_fiscal;direta;Quem pode utilizar o Cofre Fiscal?;Todos os clientes da Indie podem utilizar o Cofre Fiscal, e ele é especialmente útil para aqueles que têm renda variável, como freelancers e profissionais que recebem de forma irregular.;;;;;
cofre_fiscal__caso_de_uso__1;cofre_fiscal;caso_de_uso;Como professor particular de inglês, minha renda varia muito de mês para mês. Como o Cofre Fiscal pode me ajudar a gerenciar essa incerteza financeira?;O Cofre Fiscal ajuda a lidar com a renda irregular reservando automaticamente uma porcentagem dos seus recebimentos. Isso significa que, independentemente de quanto você ganhe em um mês, parte do seu dinheiro é separada para cobrir os impostos, como o DAS, tornando o seu planejamento financeiro mais seguro e organizado.;;;;;
conta_abertura__comparacao__0;conta_abertura;comparacao;Quais tipos de empresas podem abrir a Indie Conta PJ?;A Indie Conta PJ pode ser aberta por MEIs (Microempreendedores Individuais), empresas individuais, sociedades limitadas unipessoais (SLU) e sociedades limitadas no Simples Nacional com até 5 sócios e faturamento anual de até R$ 4,8 milhões.;;;;;
conta_abertura__objecao__4;conta_abertura;objecao;Eu sou um profissional liberal, mas minha empresa tem mais de cinco sócios. Posso abrir a Indie Conta PJ?;Infelizmente, a Indie não atende empresas que possuem mais de cinco sócios. A Indie Conta PJ é destinada a MEIs, microempresas e empresas de pequeno porte no Simples Nacional, com até cinco sócios. Portanto, você precisaria considerar outras opções de conta para sua empresa.;;;;;
conta_abertura__informal__0;conta_abertura;informal;quais tipos de empresa a indie aceita pra abrir a conta?;A Indie aceita MEIs, microempresas (ME) e empresas de pequeno porte (EPP) no Simples Nacional com até 5 sócios e faturamento anual de até R$ 4,8 milhões. Se a sua empresa se encaixa nesses critérios, pode abrir a conta.;;;;;
conta_funcionalidades__objecao__4;conta_funcionalidades;objecao;Como funciona o acesso a relatórios financeiros na Indie Conta PJ? Posso exportar meu extrato de maneira fácil?;Você pode exportar seu extrato da Indie Conta PJ em diferentes formatos, como PDF, CSV e OFX, facilitando a análise e o gerenciamento financeiro. Isso permite que você tenha acesso rápido aos dados que precisa para relatórios financeiros, o que é especialmente útil se você gerencia uma equipe ou uma empresa.;;;;;
conta_funcionalidades__comparacao__2;conta_funcionalidades;comparacao;O que são usuários adicionais na Indie Conta PJ e como funcionam nos diferentes planos?;Na Indie Conta PJ, os usuários adicionais permitem que você adicione até 3 pessoas com permissões configuráveis no plano Premium. Isso é útil para sócios ou assistentes que precisam de acesso à conta. No plano Essencial e Pro, essa funcionalidade não está disponível.;;;;;
conta_funcionalidades__direta__4;conta_funcionalidades;direta;O saldo parado na Indie Conta PJ rende algum valor?;O saldo parado na conta Indie Conta PJ não rende. Para que o dinheiro possa render, o cliente deve guardá-lo nas Caixinhas ou no Cofre Fiscal.;;;;;
contabil_me__suporte__0;contabil_me;suporte;Como faço para incluir um funcionário na minha assinatura da Indie Contábil?;A assinatura da Indie Contábil para ME/EPP inclui até 1 funcionário sem custo adicional. Para cada funcionário adicional, será cobrada uma taxa de R$ 40 por mês. Para incluir um funcionário, você deve informar ao seu contador dedicado, que cuidará do processo para você.;;;;;
contabil_me__suporte__4;contabil_me;suporte;Se eu não tiver certeza sobre qual plano escolher para a Indie Contábil, como posso obter mais informações?;Se você está em dúvida sobre qual plano escolher para a Indie Contábil, pode conversar com o atendimento pelo chat do app. Eles poderão explicar as diferenças entre os planos e ajudá-lo a decidir qual é o mais adequado para suas necessidades.;;;;;
contabil_me__caso_de_uso__2;contabil_me;caso_de_uso;Estou pensando em abrir uma ME para meu trabalho de ilustrador, mas não sei se vale a pena. Na Indie Contábil, posso abrir a ME gratuitamente?;Sim, ao contratar a Indie Contábil com fidelidade de 12 meses, você pode abrir a ME gratuitamente. Isso facilita o começo do seu negócio, permitindo que você foque mais em seus projetos e menos na burocracia.;;;;;
contabil_mei__caso_de_uso__1;contabil_mei;caso_de_uso;Como consultor de TI com ME no Simples Nacional, estou preocupado com o desenquadramento do MEI. O que a Indie Contábil faz para me ajudar nesse processo?;A Indie Contábil oferece suporte completo no processo de desenquadramento do MEI para ME. O contador dedicado irá conduzir a transição, assegurando que todas as etapas sejam seguidas corretamente, especialmente se você ultrapassou o limite de faturamento ou mudou de atividade.;;;;;
contabil_mei__direta__4;contabil_mei;direta;A DASN-SIMEI está incluída em todos os planos da Indie Contábil?;A DASN-SIMEI está incluída gratuitamente nos planos Pro e Premium da Indie Contábil. No plano Essencial, o custo é de R$ 49 por declaração avulsa.;;;;;
contabil_mei__direta__3;contabil_mei;direta;Se eu ultrapassar o limite de faturamento do MEI, como funciona o desenquadramento para ME?;Se você ultrapassar o limite de faturamento permitido para MEI, a Indie Contábil cuida da transição para ME, conduzindo o processo de desenquadramento quando necessário.;;;;;
empresa__objecao__4;empresa;objecao;Como posso ter certeza de que não estou caindo em uma pegadinha ao usar a Indie?;A Indie foi fundada com a missão de tirar a burocracia financeira do caminho dos trabalhadores independentes, e nossos produtos são projetados para simplificar sua vida financeira. Todos os nossos serviços são claros e diretos, e oferecemos atendimento humano para qualquer dúvida. Além disso, você pode experimentar o plano Essencial gratuitamente e ver se a Indie atende suas necessidades.;;;;;
empresa__objecao__3;empresa;objecao;E se a Indie quebrar? Como fica o meu dinheiro e os meus pagamentos?;A Indie é uma instituição de pagamento autorizada pelo Banco Central do Brasil, e os recursos dos clientes são segregados do patrimônio da Indie, aplicados em títulos públicos federais ou depositados no Banco Central. Isso significa que, mesmo em uma situação extrema, seu dinheiro está protegido e não se mistura com os ativos da empresa.;;;;;
empresa__caso_de_uso__0;empresa;caso_de_uso;Sou sócio de uma agência de marketing com três sócios e, muitas vezes, enfrentamos dificuldades para separar nossas finanças pessoais das da empresa. Como a Indie pode nos ajudar com isso?;A Indie oferece a Indie Conta PJ, que é uma conta digital de pagamento para pessoa jurídica. Com ela, vocês podem evitar misturar finanças pessoais com as da empresa, além de contar com funcionalidades como Pix ilimitado e gratuito, cartões de débito e crédito, e um extrato exportável. Isso facilita a gestão financeira e ajuda a evitar tarifas altas em bancos tradicionais.;;;;;
fora_escopo__informal__4;fora_escopo;informal;q q vc acha do novo filme que saiu?;Oi! Não tenho opinião sobre filmes, mas se precisar de informações sobre a Indie ou serviços financeiros, estou aqui pra ajudar!;;;;;
global__comparacao__0;global;comparacao;Qual a principal diferença entre o plano Essencial e o plano Premium no Indie Global?;A principal diferença entre o plano Essencial e o plano Premium no Indie Global está no spread aplicado e na possibilidade de manter saldo em moeda estrangeira. No plano Essencial, o spread é de 1,5%, enquanto no Premium é de 0,6%. Além disso, no plano Premium, o cliente pode manter saldo em moeda estrangeira por até 90 dias, ao passo que no Essencial a conversão é automática no dia do recebimento.;;;;;
global__comparacao__4;global;comparacao;Posso enviar dinheiro para o exterior usando o Indie Global?;Atualmente, o Indie Global não oferece a opção de enviar dinheiro para o exterior. O foco do serviço é facilitar o recebimento de pagamentos do exterior em moedas como dólar, euro e libra.;;;;;
global__objecao__4;global;objecao;Como é garantida a segurança dos dados de recebimento internacionais com a Indie?;A Indie utiliza tecnologia avançada de segurança, incluindo login com senha e biometria, além de um token de segurança para autorizar transações. Também somos regulamentados pelo Banco Central do Brasil, garantindo que todos os processos de recebimento e conversão sejam realizados de forma segura e em conformidade com a legislação.;;;;;
limites_assistente__direta__0;limites_assistente;direta;Preciso de ajuda para criar um planejamento tributário personalizado, você pode me ajudar?;Não posso oferecer recomendações individuais de planejamento tributário. Recomendo que você consulte um contador ou entre em contato com a Indie Contábil, que pode te ajudar com orientações específicas sobre suas obrigações tributárias.;;;;;
limites_assistente__informal__1;limites_assistente;informal;como eu faço pra consultar o extrato da minha conta?;Para consultar o extrato da sua conta, você deve acessar o app da Indie. Não tenho acesso a informações específicas da sua conta, então não consigo ajudar com isso.;;;;;
limites_assistente__informal__3;limites_assistente;informal;e se alguém me pedir a senha da conta, o que faço?;Nunca compartilhe sua senha com ninguém. Se alguém te pedir, bloqueie imediatamente o acesso pelo app e entre em contato com a central de bloqueio pra se proteger.;;;;;
nao_oferece__objecao__1;nao_oferece;objecao;Estou pensando em abrir uma conta como designer gráfica MEI, mas não sei se a Indie atende empresas do Lucro Presumido. Isso é verdade?;A Indie não atende empresas do Lucro Presumido ou Lucro Real. Ela é voltada para MEIs, microempresas e empresas de pequeno porte no Simples Nacional, com até 5 sócios.;;;;;
nao_oferece__comparacao__3;nao_oferece;comparacao;Se minha empresa tiver mais de 5 sócios, posso abrir uma conta na Indie?;A Indie não atende empresas com mais de 5 sócios. O serviço é exclusivo para MEIs, microempresas e empresas de pequeno porte no Simples Nacional com até 5 sócios.;;;;;
nao_oferece__suporte__3;nao_oferece;suporte;Se eu ultrapassar o limite de faturamento do MEI, o que acontece?;Se você ultrapassar o limite de faturamento anual do MEI, terá que considerar a transição para uma microempresa (ME). A Indie pode ajudar com essa mudança, mas lembre-se que não atendemos empresas do Lucro Presumido ou Lucro Real.;;;;;
notas__direta__4;notas;direta;Preciso de um certificado digital para usar a Indie Notas como MEI?;Os microempreendedores individuais (MEIs) que emitem notas pelo Emissor Nacional não precisam de certificado digital. Porém, algumas prefeituras exigem o certificado A1 para as microempresas (MEs), que pode ser adquirido através da Indie por R$ 139/ano.;;;;;
notas__suporte__2;notas;suporte;Como funciona a cancelamento de uma nota fiscal emitida pela Indie Notas?;Você pode cancelar uma nota fiscal emitida pela Indie Notas dentro do prazo permitido pela prefeitura. Para isso, acesse o app, localize a nota desejada e selecione a opção de cancelamento. O processo é simples, mas certifique-se de que está dentro do prazo estipulado para o cancelamento.;;;;;
notas__objecao__2;notas;objecao;Por que eu deveria usar a Indie Notas em vez de continuar com o sistema que meu banco atual oferece?;A Indie Notas oferece uma solução integrada que facilita a emissão de notas fiscais diretamente pelo app, o que economiza tempo e evita a burocracia de acessar sites de prefeituras. Além disso, ela automatiza o envio das notas e a conciliação com as cobranças, tornando todo o processo mais simples e eficiente, especialmente para profissionais que precisam lidar com muitos clientes.;;;;;
planos__direta__3;planos;direta;Quantas notas fiscais posso emitir no plano Essencial?;No plano Essencial, você pode emitir até 5 notas fiscais por mês.;;;;;
planos__objecao__0;planos;objecao;Por que eu deveria escolher a Indie se já tenho um banco?;A Indie oferece um conjunto de serviços financeiros integrados, especialmente voltados para profissionais que trabalham por conta própria. Com funcionalidades como emissão automática de notas fiscais, separação de impostos no Cofre Fiscal e recebimentos internacionais com spreads baixos, ela facilita a gestão financeira para freelancers e empreendedores. Além disso, a mensalidade do plano Essencial é gratuita, o que pode ser uma vantagem em relação ao seu banco atual.;;;;;
previdencia__objecao__1;previdencia;objecao;Quais são os custos ocultos na Previdência Indie?;Na Previdência Indie, não há taxas de carregamento, o que significa que você não paga taxas adicionais ao investir. A única taxa que você encontrará é a de administração, que é competitiva e transparente. Dessa forma, você pode ficar tranquilo sabendo que não há custos escondidos que possam surpreendê-lo.;;;;;
previdencia__suporte__4;previdencia;suporte;Como funciona a taxa de administração da Previdência Indie?;A Previdência Indie possui uma taxa de administração de 0,8% ao ano, que é bastante competitiva. Além disso, não há taxa de carregamento, o que significa que você não paga nenhuma taxa ao realizar aportes. Essa estrutura de custos torna a Previdência Indie uma opção atraente para quem busca um investimento acessível e transparente.;;;;;
regras_comerciais__direta__3;regras_comerciais;direta;Qual é a política de cancelamento e reembolso da Indie?;O cancelamento da assinatura pode ser feito sem multa. Se você estiver no plano mensal, o acesso continua até o fim do ciclo pago. No plano anual, os meses não utilizados são reembolsados proporcionalmente.;;;;;
regras_comerciais__comparacao__3;regras_comerciais;comparacao;Se eu decidir cancelar minha assinatura, o que acontece com os meses não utilizados?;Se você cancelar sua assinatura no plano anual, os meses não utilizados serão reembolsados proporcionalmente. No plano mensal, você continuará com o acesso até o fim do ciclo pago.;;;;;
regulacao__comparacao__3;regulacao;comparacao;Quais são as vantagens de usar o Cofre Fiscal em comparação com uma conta bancária tradicional?;O Cofre Fiscal oferece a vantagem de reservar automaticamente uma porcentagem dos seus recebimentos para o pagamento de impostos, evitando surpresas no vencimento. Além disso, os recursos são aplicados em um CDB que rende 100% do CDI. Em comparação, uma conta bancária tradicional não oferece essa funcionalidade de separação automática para impostos, e o saldo muitas vezes não rende ou tem taxas elevadas.;;;;;
regulacao__suporte__4;regulacao;suporte;Como a Indie garante a segurança dos meus dados financeiros?;A Indie implementa várias medidas de segurança, como login com senha e biometria, além de um token de segurança chamado Indie Chave para autorizar transações. Também assegura que os dados sejam tratados conforme a Lei Geral de Proteção de Dados, sem vender suas informações e garantindo a confidencialidade e proteção das suas transações.;;;;;
regulacao__suporte__0;regulacao;suporte;O que acontece se eu precisar acessar o saldo da minha conta da Indie e ele não estiver coberto pelo FGC?;Como o saldo da conta de pagamento da Indie não é coberto pelo FGC, em caso de necessidade de acesso, você terá a garantia de que seus recursos estão segregados do patrimônio da Indie e aplicados em títulos públicos federais ou depositados no Banco Central. Isso significa que seus recursos estão protegidos, mas é importante entender que eles não têm a mesma cobertura que um depósito bancário convencional.;;;;;
salario_indie__comparacao__2;salario_indie;comparacao;O que acontece se eu não tiver saldo suficiente na conta PJ para o Salário Indie?;Se não houver saldo suficiente na conta PJ para transferir o valor fixo do Salário Indie, a funcionalidade pode usar a Caixinha Colchão escolhida pelo cliente para completar o valor desejado. Isso garante que você continue recebendo sua renda mensal, mesmo em meses em que a receita é menor.;;;;;
salario_indie__informal__4;salario_indie;informal;quais planos têm o Salário Indie e como isso afeta minha conta PJ?;O Salário Indie tá disponível nos planos Pro e Premium. Ele funciona integrado à sua conta PJ, então você pode configurar e receber seu salário fixo sem complicações. No plano Essencial, não tem essa opção, mas você pode sempre subir de plano se quiser!;;;;;
salario_indie__comparacao__1;salario_indie;comparacao;Como posso usar a Caixinha Colchão junto com o Salário Indie?;A Caixinha Colchão pode ser utilizada para complementar o valor do Salário Indie em meses em que o saldo livre na conta PJ não é suficiente. Assim, você pode garantir que o valor fixo desejado será transferido para a sua conta pessoal mesmo em meses com renda irregular, utilizando a reserva da Caixinha para completar a quantia.;;;;;
seguranca__caso_de_uso__0;seguranca;caso_de_uso;Como arquiteta autônoma que recebe por projeto, estou preocupada com a segurança das minhas transações. Que tipo de alertas recebo em tempo real?;Quando você realiza transações pelo app da Indie, recebe alertas em tempo real sobre todas as movimentações. Isso inclui notificações sobre recebimentos e pagamentos, ajudando a manter o controle e a segurança das suas finanças.;;;;;
seguranca__comparacao__1;seguranca;comparacao;Os limites de Pix configuráveis são iguais para todos os planos?;Não, os limites de Pix podem variar conforme as configurações que você escolher. Além disso, você pode definir um limite noturno separado, que é ativo entre as 20h e 6h, para maior segurança nas transações durante a noite.;;;;;
seguranca__caso_de_uso__4;seguranca;caso_de_uso;Estou preocupado com a segurança dos meus dados. Quais certificações a Indie possui para garantir a proteção das minhas informações?;A Indie possui certificações como a PCI DSS para dados de cartão e a ISO 27001 para segurança da informação. Essas certificações demonstram o compromisso da Indie em proteger as informações dos clientes e garantir a segurança das transações realizadas pelo app.;;;;;
seguro__suporte__0;seguro;suporte;O que acontece se eu ficar doente e não abrir o sinistro do Seguro Renda Protegida?;Se você não abrir o sinistro do Seguro Renda Protegida, não receberá a diária a que tem direito durante o período de afastamento. É importante que você notifique o sinistro pelo app assim que possível, para garantir a cobertura e receber a diária conforme contratado.;;;;;
seguro__comparacao__4;seguro;comparacao;O Seguro Renda Protegida cobre afastamentos por qualquer tipo de doença?;"O Seguro Renda Protegida possui carência de 30 dias para doenças; já para acidentes, não há carência.";;;;;
seguro__direta__0;seguro;direta;O que é o Seguro Renda Protegida?;O Seguro Renda Protegida é uma solução que paga uma diária de R$ 100 a R$ 500 quando o cliente fica temporariamente impedido de trabalhar por doença ou acidente, por até 90 dias por evento.;;;;;
suporte__direta__4;suporte;direta;Como funciona a portabilidade de salário para outra conta?;A portabilidade de salário pode ser feita entre instituições de acordo com as regras do Banco Central. Você deve seguir as orientações específicas do seu novo banco para solicitar essa transferência.;;;;;
suporte__direta__0;suporte;direta;O que devo fazer se meu Pix for feito por engano?;Se você enviar um Pix para a conta errada, deve abrir uma contestação no app o quanto antes. A Indie acionará o MED (Mecanismo Especial de Devolução) do Banco Central, mas a devolução depende de haver saldo na conta de destino e não é garantida.;;;;;
suporte__objecao__1;suporte;objecao;Quais são os riscos se eu precisar encerrar minha conta?;Encerrar sua conta na Indie é um processo simples, que você pode solicitar pelo app. É necessário zerar o saldo, transferindo-o para outra conta, quitar a fatura do cartão e resgatar as Caixinhas. Os dados da sua conta serão mantidos pelo prazo exigido pela regulação.;;;;;
